date,est_jour_ferie,nom_jour_ferie
1950-01-01,True,Jour de l'an
1950-04-07,True,Vendredi Saint
1950-04-10,True,Lundi de Pâques
1950-05-01,True,Fête du travail
1950-05-08,True,Victoire des alliés
1950-05-18,True,Ascension
1950-05-29,True,Lundi de Pentecôte
1950-07-14,True,Fête Nationale
1950-08-15,True,Assomption
1950-11-01,True,Toussaint
1950-11-11,True,Armistice
1950-12-25,True,Noël
1950-12-26,True,Saint Étienne
1951-01-01,True,Jour de l'an
1951-03-23,True,Vendredi Saint
1951-03-26,True,Lundi de Pâques
1951-05-01,True,Fête du travail
1951-05-03,True,Ascension
1951-05-08,True,Victoire des alliés
1951-05-14,True,Lundi de Pentecôte
1951-07-14,True,Fête Nationale
1951-08-15,True,Assomption
1951-11-01,True,Toussaint
1951-11-11,True,Armistice
1951-12-25,True,Noël
1951-12-26,True,Saint Étienne
1952-01-01,True,Jour de l'an
1952-04-11,True,Vendredi Saint
1952-04-14,True,Lundi de Pâques
1952-05-01,True,Fête du travail
1952-05-08,True,Victoire des alliés
1952-05-22,True,Ascension
1952-06-02,True,Lundi de Pentecôte
1952-07-14,True,Fête Nationale
1952-08-15,True,Assomption
1952-11-01,True,Toussaint
1952-11-11,True,Armistice
1952-12-25,True,Noël
1952-12-26,True,Saint Étienne
1953-01-01,True,Jour de l'an
1953-04-03,True,Vendredi Saint
1953-04-06,True,Lundi de Pâques
1953-05-01,True,Fête du travail
1953-05-08,True,Victoire des alliés
1953-05-14,True,Ascension
1953-05-25,True,Lundi de Pentecôte
1953-07-14,True,Fête Nationale
1953-08-15,True,Assomption
1953-11-01,True,Toussaint
1953-11-11,True,Armistice
1953-12-25,True,Noël
1953-12-26,True,Saint Étienne
1954-01-01,True,Jour de l'an
1954-04-16,True,Vendredi Saint
1954-04-19,True,Lundi de Pâques
1954-05-01,True,Fête du travail
1954-05-08,True,Victoire des alliés
1954-05-27,True,Ascension
1954-06-07,True,Lundi de Pentecôte
1954-07-14,True,Fête Nationale
1954-08-15,True,Assomption
1954-11-01,True,Toussaint
1954-11-11,True,Armistice
1954-12-25,True,Noël
1954-12-26,True,Saint Étienne
1955-01-01,True,Jour de l'an
1955-04-08,True,Vendredi Saint
1955-04-11,True,Lundi de Pâques
1955-05-01,True,Fête du travail
1955-05-08,True,Victoire des alliés
1955-05-19,True,Ascension
1955-05-30,True,Lundi de Pentecôte
1955-07-14,True,Fête Nationale
1955-08-15,True,Assomption
1955-11-01,True,Toussaint
1955-11-11,True,Armistice
1955-12-25,True,Noël
1955-12-26,True,Saint Étienne
1956-01-01,True,Jour de l'an
1956-03-30,True,Vendredi Saint
1956-04-02,True,Lundi de Pâques
1956-05-01,True,Fête du travail
1956-05-08,True,Victoire des alliés
1956-05-10,True,Ascension
1956-05-21,True,Lundi de Pentecôte
1956-07-14,True,Fête Nationale
1956-08-15,True,Assomption
1956-11-01,True,Toussaint
1956-11-11,True,Armistice
1956-12-25,True,Noël
1956-12-26,True,Saint Étienne
1957-01-01,True,Jour de l'an
1957-04-19,True,Vendredi Saint
1957-04-22,True,Lundi de Pâques
1957-05-01,True,Fête du travail
1957-05-08,True,Victoire des alliés
1957-05-30,True,Ascension
1957-06-10,True,Lundi de Pentecôte
1957-07-14,True,Fête Nationale
1957-08-15,True,Assomption
1957-11-01,True,Toussaint
1957-11-11,True,Armistice
1957-12-25,True,Noël
1957-12-26,True,Saint Étienne
1958-01-01,True,Jour de l'an
1958-04-04,True,Vendredi Saint
1958-04-07,True,Lundi de Pâques
1958-05-01,True,Fête du travail
1958-05-08,True,Victoire des alliés
1958-05-15,True,Ascension
1958-05-26,True,Lundi de Pentecôte
1958-07-14,True,Fête Nationale
1958-08-15,True,Assomption
1958-11-01,True,Toussaint
1958-11-11,True,Armistice
1958-12-25,True,Noël
1958-12-26,True,Saint Étienne
1959-01-01,True,Jour de l'an
1959-03-27,True,Vendredi Saint
1959-03-30,True,Lundi de Pâques
1959-05-01,True,Fête du travail
1959-05-07,True,Ascension
1959-05-08,True,Victoire des alliés
1959-05-18,True,Lundi de Pentecôte
1959-07-14,True,Fête Nationale
1959-08-15,True,Assomption
1959-11-01,True,Toussaint
1959-11-11,True,Armistice
1959-12-25,True,Noël
1959-12-26,True,Saint Étienne
1960-01-01,True,Jour de l'an
1960-04-15,True,Vendredi Saint
1960-04-18,True,Lundi de Pâques
1960-05-01,True,Fête du travail
1960-05-08,True,Victoire des alliés
1960-05-26,True,Ascension
1960-06-06,True,Lundi de Pentecôte
1960-07-14,True,Fête Nationale
1960-08-15,True,Assomption
1960-11-01,True,Toussaint
1960-11-11,True,Armistice
1960-12-25,True,Noël
1960-12-26,True,Saint Étienne
1961-01-01,True,Jour de l'an
1961-03-31,True,Vendredi Saint
1961-04-03,True,Lundi de Pâques
1961-05-01,True,Fête du travail
1961-05-08,True,Victoire des alliés
1961-05-11,True,Ascension
1961-05-22,True,Lundi de Pentecôte
1961-07-14,True,Fête Nationale
1961-08-15,True,Assomption
1961-11-01,True,Toussaint
1961-11-11,True,Armistice
1961-12-25,True,Noël
1961-12-26,True,Saint Étienne
1962-01-01,True,Jour de l'an
1962-04-20,True,Vendredi Saint
1962-04-23,True,Lundi de Pâques
1962-05-01,True,Fête du travail
1962-05-08,True,Victoire des alliés
1962-05-31,True,Ascension
1962-06-11,True,Lundi de Pentecôte
1962-07-14,True,Fête Nationale
1962-08-15,True,Assomption
1962-11-01,True,Toussaint
1962-11-11,True,Armistice
1962-12-25,True,Noël
1962-12-26,True,Saint Étienne
1963-01-01,True,Jour de l'an
1963-04-12,True,Vendredi Saint
1963-04-15,True,Lundi de Pâques
1963-05-01,True,Fête du travail
1963-05-08,True,Victoire des alliés
1963-05-23,True,Ascension
1963-06-03,True,Lundi de Pentecôte
1963-07-14,True,Fête Nationale
1963-08-15,True,Assomption
1963-11-01,True,Toussaint
1963-11-11,True,Armistice
1963-12-25,True,Noël
